,stopwords,
837,재찬,
838,말투,
840,경석,
841,준비,
843,과도,
844,단단,
846,표현,
847,동생,
848,타미,
849,혜성,
852,나정,
853,순간,
854,소식,
855,영준,
856,문제,
857,피부,
858,미래,
859,정보,
860,석형,
861,정신,
863,관심,
864,중요,
865,서우,
868,냄새,
869,준재,
870,근처,
872,의학,
873,기대,
881,출신,
882,실력,
883,반대,
884,도준,
886,단정,
887,무엇,
888,제대,
889,오늘,
890,구분,
891,무진,
892,은정,
893,심지,
896,국가,
897,오빠,
898,불허,
899,정상,
901,제작,
902,민준,
904,생각,
905,사랑,
906,그대,
908,자연,
912,유진,
915,송산,
918,주제,
919,언젠,
923,그때,
924,차림,
925,일찍,
926,귀국,
929,아이,
930,태종,
934,결정,
935,전교,
936,생활,
938,궁금,
940,학벌,
941,사망,
942,진단,
943,분노,
945,대단,
946,숙종,
949,채윤,
950,단종,
952,찰떡,
953,기질,
955,그곳,
956,감정,
958,유신,
959,안영,
961,재석,
962,홍주,
964,유리,
966,서운,
968,태권,
970,남매,
971,때문,
972,월급,
975,은퇴,
976,것들,
979,표정,
980,파일,
981,지욱,
982,소개,
983,가득,
986,한주,
988,이곤,
989,첫사,
990,무리,
991,들이,
992,쌍둥,
993,타입,
994,지호,
995,눈물,
1001,그녀,그녀
1002,이림,이림
1005,불의,불의
1010,최선,최선
1012,부탁,부탁
1013,시원,시원
1015,매일,매일
1016,나라,나라
1017,천명,천명
1018,관련,관련
1019,전화,전화
1020,당연,당연
1021,진주,진주
1023,느낌,느낌
1025,기술,기술
1026,다양,다양
1027,일들,일들
1028,위험,위험
1030,덕만,덕만
1031,국정,국정
1032,세리,세리
1034,해이,해이
1036,소리,소리
1040,사건,사건
1041,강호,강호
1042,덕분,덕분
1043,중반,중반
1044,진행,진행
1045,상관,상관
1048,엄마,엄마
1049,종도,종도
1050,신면,신면
1052,해결,해결
1054,입단,입단
1056,섬세,섬세
1058,상대,상대
1059,실적,실적
1060,지구,지구
1061,역사,역사
1062,기회,기회
1063,애교,애교
1064,배경,배경
1065,태도,태도
1066,웬만,웬만
1070,반복,반복
1071,도경,도경
1074,류진,류진
1075,호적,호적
1076,케이,케이
1078,시선,시선
1079,하루,하루
1080,가족,가족
1081,애라,애라
1083,진지,진지
1084,당신,당신
1087,이서,이서
1090,근원,근원
1091,자리,자리
1092,은근,은근
1094,차지,차지
1096,엄격,엄격
1099,바다,바다
1101,수혁,수혁
1102,기업,기업
1106,강화,강화
1107,나름,나름
1108,금복,금복
1109,평가,평가
1112,부인,부인
1114,안경,안경
1115,필요,필요
1116,아파,아파
1117,시절,시절
1119,애신,애신
1122,권력,권력
1123,졸업,졸업
1125,행동,행동
1127,온몸,온몸
1128,3부,3부
1129,거침,거침
1130,진우,진우
1131,영이,영이
1132,성향,성향
1133,이용,이용
1134,호인,호인
1136,미인,미인
1137,고민,고민
1138,도시,도시
1139,우석,우석
1140,시아,시아
1143,입사,입사
1144,보종,보종
1145,포기,포기
1150,입성,입성
1151,수진,수진
1152,초반,초반
1154,대신,대신
1156,연기,연기
1157,희준,희준
1158,체력,체력
1160,인물,인물
1161,흥청,흥청
1162,모임,모임
1165,도하,도하
1168,나이,나이
1169,우선,우선
1170,설명,설명
1171,규모,규모
1172,대가,대가
1174,지경,지경
1175,마감,마감
1176,재능,재능
1179,호령,호령
1180,애들,애들
1185,참모,참모
1188,계속,계속
1190,짐작,짐작
1194,가능,가능
1196,형석,형석
1197,윤기,윤기
1198,마을,마을
1199,조언,조언
1201,학교,학교
1203,이유,이유
1204,살이,살이
1207,명석,명석
1209,유정,유정
1211,민혁,민혁
1213,봉순,봉순
1214,문영,문영
1215,시작,시작
1218,주위,주위
1220,설희,설희
1221,조용,조용
1223,녹수,녹수
1224,서울,서울
1225,정혁,정혁
1226,결혼,결혼
1227,수행,수행
1228,유명,유명
1229,접근,접근
1230,가슴,가슴
1233,짝사,짝사
1234,최고,최고
1236,이들,이들
1237,선호,선호
1238,신분,신분
1239,걱정,걱정
1240,전담,전담
1241,거부,거부
1242,모친,모친
1243,마주,마주
1244,멤버,멤버
1245,임원,임원
1247,운명,운명
1249,승유,승유
1250,은탁,은탁
1251,얘기,얘기
1252,현장,현장
1255,실패,실패
465,정조,
466,기억,
467,전형,
468,지지,
469,세력,
472,영애,
473,강모,
474,심장,
475,사회,
476,군인,
479,발탁,
481,가장,
482,관리,
483,자금,
484,확실,
485,타이,
486,가치,
487,정리,
488,상원,
489,세계,
491,전공,
497,무사,
499,이상,
500,모두,
